Timestep	MeanReward	BestMeanReward	episodes	exploration	learning_rate
0	nan	-inf	0	1.0	0.0001
10000	138.8095238095238	-inf	21	0.991	0.0001
20000	151.0	-inf	40	0.982	0.0001
30000	164.22413793103448	-inf	58	0.973	0.0001
40000	167.66233766233765	-inf	77	0.964	0.0001
50000	166.6326530612245	-inf	98	0.955	0.0001
60000	159.55	166.55	119	0.946	0.0001
70000	154.5	166.55	140	0.9369999999999999	0.0001
80000	150.05	166.55	160	0.9279999999999999	0.0001
90000	142.95	166.55	181	0.919	0.0001
100000	141.1	166.55	201	0.91	0.0001
110000	156.65	166.55	218	0.901	0.0001
120000	157.65	166.55	240	0.892	0.0001
130000	155.3	166.55	260	0.883	0.0001
140000	153.55	166.55	282	0.874	0.0001
150000	159.9	166.55	301	0.865	0.0001
160000	155.1	166.55	321	0.856	0.0001
170000	163.3	166.55	339	0.847	0.0001
180000	163.8	166.55	358	0.838	0.0001
190000	161.2	166.55	381	0.829	0.0001
200000	153.55	166.55	403	0.82	0.0001
210000	159.45	166.55	419	0.8109999999999999	0.0001
220000	154.5	166.55	438	0.802	0.0001
230000	158.15	166.55	459	0.7929999999999999	0.0001
240000	170.3	170.7	480	0.784	0.0001
250000	173.4	175.45	500	0.775	0.0001
260000	156.8	175.45	523	0.766	0.0001
270000	162.1	175.45	542	0.757	0.0001
280000	161.35	175.45	565	0.748	0.0001
290000	147.9	175.45	587	0.739	0.0001
300000	154.25	175.45	604	0.73	0.0001
310000	161.0	175.45	626	0.721	0.0001
320000	166.25	175.45	645	0.712	0.0001
330000	170.15	175.45	666	0.703	0.0001
340000	174.45	175.45	689	0.694	0.0001
350000	167.9	175.45	711	0.685	0.0001
360000	184.9	186.25	728	0.6759999999999999	0.0001
370000	178.15	189.3	749	0.667	0.0001
380000	193.5	193.5	767	0.6579999999999999	0.0001
390000	209.05	210.4	783	0.649	0.0001
400000	214.6	216.35	803	0.6399999999999999	0.0001
410000	209.15	222.35	823	0.631	0.0001
